id, items_id, itemtype, deviceharddrives_id, capacity
1,2,Computer, 1, 238472
2,4,Computer, 1, 238472
3,5,Computer, 1, 238472
4,6,Computer, 1, 238472
5,7,Computer, 1, 238472
6,8,Computer, 1, 238472
7,9,Computer, 1, 238472
8,10,Computer, 1, 238472
9,11,Computer, 1, 238472
10,12,Computer, 1, 238472
11,17,Computer, 1, 238472
12,20,Computer, 1, 238472
13,32,Computer, 2, 238472
14,35,Computer, 2, 238472
15,37,Computer, 2, 238472
16,38,Computer, 2, 238472
17,39,Computer, 2, 238472
18,40,Computer, 2, 238472
19,42,Computer, 2, 238472
20,44,Computer, 2, 238472
21,77,Computer, 2, 238472
22,98,Computer, 3, 238472
23,102,Computer, 4, 238472
24,125,Computer, 2, 238472
25,135,Computer, 3, 238472
26,137,Computer, 3, 238472
27,138,Computer, 3, 238472
28,139,Computer, 3, 238472
29,167,Computer, 2, 238472
30,202,Computer, 4, 238472
31,348,Computer, 5, 238472
32,349,Computer, 5, 238472
33,350,Computer, 5, 238472
34,353,Computer, 5, 238472
35,354,Computer, 5, 238472
36,355,Computer, 5, 238472
37,356,Computer, 5, 238472
38,357,Computer, 5, 238472
39,379,Computer, 4, 238472
40,384,Computer, 4, 238472
41,385,Computer, 4, 238472
42,386,Computer, 4, 238472
43,387,Computer, 4, 238472
44,389,Computer, 4, 238472
45,391,Computer, 1, 238472
46,398,Computer, 4, 238472
47,399,Computer, 4, 238472
48,400,Computer, 4, 238472
49,401,Computer, 4, 238472
50,402,Computer, 4, 238472
51,403,Computer, 4, 238472
52,404,Computer, 4, 238472
53,428,Computer, 2, 238472
54,460,Computer, 6, 238472
55,461,Computer, 7, 238472
56,462,Computer, 5, 238472
57,468,Computer, 8, 953867
58,488,Computer, 8, 953867
59,500,Computer, 4, 238472
60,508,Computer, 8, 953867
61,518,Computer, 8, 953867
62,527,Computer, 8, 953867
63,528,Computer, 8, 953867
64,529,Computer, 8, 953867
65,530,Computer, 8, 953867
66,532,Computer, 9, 476937
67,533,Computer, 9, 476937
68,536,Computer, 9, 476937
69,538,Computer, 9, 476937
70,540,Computer, 9, 476937
71,548,Computer, 10, 238472
72,549,Computer, 10, 238472
73,550,Computer, 8, 953867
74,551,Computer, 9, 476937
75,553,Computer, 10, 238472
76,555,Computer, 9, 476937
77,556,Computer, 9, 476937
78,557,Computer, 9, 476937
79,559,Computer, 10, 238472
80,561,Computer, 9, 476937
81,562,Computer, 9, 476937
82,565,Computer, 9, 476937
83,566,Computer, 10, 238472
84,573,Computer, 11, 953867
85,579,Computer, 10, 238472
86,601,Computer, 11, 953867
87,602,Computer, 11, 953867
88,604,Computer, 11, 953867
89,611,Computer, 11, 953867
90,619,Computer, 11, 953867
91,620,Computer, 11, 953867
92,625,Computer, 8, 953867
93,628,Computer, 11, 953867
94,650,Computer, 11, 953867
95,651,Computer, 8, 953867
96,882,Computer, 9, 476937
97,905,Computer, 9, 476937
98,908,Computer, 9, 476937
99,910,Computer, 9, 476937
100,913,Computer, 9, 476937
101,915,Computer, 9, 476937
102,920,Computer, 9, 476937
103,921,Computer, 9, 476937
104,922,Computer, 9, 476937
105,924,Computer, 9, 476937
106,926,Computer, 9, 476937
107,934,Computer, 9, 476937
108,939,Computer, 9, 476937
109,961,Computer, 4, 238472
110,971,Computer, 2, 238472
111,975,Computer, 9, 476937
112,980,Computer, 1, 238472
113,989,Computer, 9, 476937
114,992,Computer, 9, 476937
115,995,Computer, 1, 238472
116,999,Computer, 9, 476937
117,1000,Computer, 9, 476937
118,1028,Computer, 12, 238472
119,1030,Computer, 12, 238472
120,1031,Computer, 12, 238472
121,1032,Computer, 12, 238472
122,1033,Computer, 12, 238472
123,1034,Computer, 12, 238472
124,1035,Computer, 12, 238472
125,1036,Computer, 12, 238472
126,1037,Computer, 12, 238472
127,1038,Computer, 12, 238472
128,1067,Computer, 13, 238472
129,1068,Computer, 13, 238472
130,1070,Computer, 13, 238472
131,1071,Computer, 13, 238472
132,1072,Computer, 13, 238472
133,1073,Computer, 13, 238472
134,1074,Computer, 13, 238472
135,1075,Computer, 13, 238472
136,1076,Computer, 13, 238472
137,1077,Computer, 13, 238472
138,1078,Computer, 13, 238472
139,1079,Computer, 13, 238472
140,1080,Computer, 13, 238472
141,1081,Computer, 13, 238472
142,1083,Computer, 13, 238472
143,1085,Computer, 12, 238472
144,1087,Computer, 13, 238472
145,1089,Computer, 12, 238472
146,1090,Computer, 12, 238472
147,1091,Computer, 12, 238472
